state,population,date,deaths
AL,4903185,2022-03-22,19139
AL,4903185,2022-03-23,19169
AL,4903185,2022-03-24,19173
AL,4903185,2022-03-25,19210
AL,4903185,2022-03-26,19210
AL,4903185,2022-03-27,19210
AL,4903185,2022-03-28,19234
AL,4903185,2022-03-29,19280
AL,4903185,2022-03-30,19284
AL,4903185,2022-03-31,19290
AR,3017804,2022-01-01,9180
AR,3017804,2022-01-02,9196
AR,3017804,2022-01-03,9221
AR,3017804,2022-01-04,9248
AR,3017804,2022-01-05,9256
AR,3017804,2022-01-06,9278
AR,3017804,2022-01-07,9298
AR,3017804,2022-01-08,9314
AR,3017804,2022-01-09,9314
AR,3017804,2022-01-10,9333
AR,3017804,2022-01-11,9358
AR,3017804,2022-01-12,9372
AR,3017804,2022-01-13,9390
AR,3017804,2022-01-14,9413
AR,3017804,2022-01-15,9430
AR,3017804,2022-01-16,9434
AR,3017804,2022-01-17,9437
AR,3017804,2022-01-18,9452
AR,3017804,2022-01-19,9462
AR,3017804,2022-01-20,9470
AR,3017804,2022-01-21,9484
AR,3017804,2022-01-22,9498
AR,3017804,2022-01-23,9510
AR,3017804,2022-01-24,9532
AR,3017804,2022-01-25,9556
AR,3017804,2022-01-26,9574
AR,3017804,2022-01-27,9596
AR,3017804,2022-01-28,9616
AR,3017804,2022-01-29,9616
AR,3017804,2022-01-30,9616
AR,3017804,2022-01-31,9628
AR,3017804,2022-02-01,9667
AR,3017804,2022-02-02,9690
AR,3017804,2022-02-03,9733
AR,3017804,2022-02-04,9762
AR,3017804,2022-02-05,9793
AR,3017804,2022-02-06,9831
AR,3017804,2022-02-07,9867
AR,3017804,2022-02-08,9895
AR,3017804,2022-02-09,9927
AR,3017804,2022-02-10,9937
AR,3017804,2022-02-11,9977
AR,3017804,2022-02-12,10025
AR,3017804,2022-02-13,10065
AR,3017804,2022-02-14,10097
AR,3017804,2022-02-15,10141
AR,3017804,2022-02-16,10190
AR,3017804,2022-02-17,10235
AR,3017804,2022-02-18,10271
AR,3017804,2022-02-19,10291
AR,3017804,2022-02-20,10292
AR,3017804,2022-02-21,10292
AR,3017804,2022-02-22,10305
AR,3017804,2022-02-23,10341
AR,3017804,2022-02-24,10381
AR,3017804,2022-02-25,10425
AR,3017804,2022-02-26,10465
AR,3017804,2022-02-27,10497
AR,3017804,2022-02-28,10524
AR,3017804,2022-03-01,10579
AR,3017804,2022-03-02,10611
AR,3017804,2022-03-03,10661
AR,3017804,2022-03-04,10681
AR,3017804,2022-03-05,10699
AR,3017804,2022-03-06,10713
AR,3017804,2022-03-07,10724
AR,3017804,2022-03-08,10760
AR,3017804,2022-03-09,10799
AR,3017804,2022-03-10,10836
AR,3017804,2022-03-11,10864
AR,3017804,2022-03-12,10892
AR,3017804,2022-03-13,10922
AR,3017804,2022-03-14,10950
AR,3017804,2022-03-15,10971
AR,3017804,2022-03-16,10999
AR,3017804,2022-03-17,11030
AR,3017804,2022-03-18,11053
AR,3017804,2022-03-19,11078
AR,3017804,2022-03-20,11100
AR,3017804,2022-03-21,11114
AR,3017804,2022-03-22,11127
