date,state,inpatient_beds
2020-12-20T00:00:00.000,FL,38098.6
2020-12-20T00:00:00.000,GA,14142.6
2020-12-20T00:00:00.000,GU,181.3
2020-12-20T00:00:00.000,HI,1623.8
2020-12-20T00:00:00.000,IA,4281.1
2020-12-20T00:00:00.000,ID,1696.1
2020-12-20T00:00:00.000,IL,18721.9
2020-12-20T00:00:00.000,IN,10389.2
2020-12-20T00:00:00.000,KS,4408.2
2020-12-20T00:00:00.000,KY,6824.5
2020-12-20T00:00:00.000,LA,8045.8
2020-12-20T00:00:00.000,MA,12597.2
2020-12-20T00:00:00.000,MD,7758.7
2020-12-20T00:00:00.000,ME,1800.2
2020-12-20T00:00:00.000,MI,14434.0
2020-12-20T00:00:00.000,MN,6474.3
2020-12-20T00:00:00.000,MO,10910.4
2020-12-20T00:00:00.000,MP,41.3
2020-12-20T00:00:00.000,MS,4981.6
2020-12-20T00:00:00.000,MT,1627.7
2020-12-20T00:00:00.000,NC,15638.6
2020-12-20T00:00:00.000,ND,1269.1
2020-12-20T00:00:00.000,NE,2950.8
2020-12-20T00:00:00.000,NH,1798.1
2020-12-20T00:00:00.000,NJ,13966.3
2020-12-20T00:00:00.000,NM,2542.4
2020-12-20T00:00:00.000,NV,5610.2
2020-12-20T00:00:00.000,NY,32969.8
2020-12-20T00:00:00.000,OH,19171.5
2020-12-20T00:00:00.000,OK,6296.1
2020-12-20T00:00:00.000,OR,4484.1
2020-12-20T00:00:00.000,PA,23575.3
2020-12-20T00:00:00.000,PR,4106.7
2020-12-20T00:00:00.000,RI,2017.4
2020-12-20T00:00:00.000,SC,6838.5
2020-12-20T00:00:00.000,SD,1266.1
2020-12-20T00:00:00.000,TN,11422.7
2020-12-20T00:00:00.000,TX,44442.8
2020-12-20T00:00:00.000,UT,2794.9
2020-12-20T00:00:00.000,VA,11265.2
2020-12-20T00:00:00.000,VI,91.19999999999999
2020-12-20T00:00:00.000,VT,661.0
2020-12-20T00:00:00.000,WA,8205.8
2020-12-20T00:00:00.000,WI,7224.2
2020-12-20T00:00:00.000,WV,3611.6
2020-12-20T00:00:00.000,WY,548.9
2020-12-27T00:00:00.000,AK,557.0
2020-12-27T00:00:00.000,AL,10538.5
2020-12-27T00:00:00.000,AR,5252.4
2020-12-27T00:00:00.000,AZ,10649.8
2020-12-27T00:00:00.000,CA,50414.3
2020-12-27T00:00:00.000,CO,6450.6
2020-12-27T00:00:00.000,CT,5857.4
2020-12-27T00:00:00.000,DC,2265.9
2020-12-27T00:00:00.000,DE,1789.6999999999998
2020-12-27T00:00:00.000,FL,39197.7
2020-12-27T00:00:00.000,GA,15358.6
2020-12-27T00:00:00.000,GU,184.0
2020-12-27T00:00:00.000,HI,1661.0
2020-12-27T00:00:00.000,IA,4403.8
2020-12-27T00:00:00.000,ID,1731.4
2020-12-27T00:00:00.000,IL,18909.1
2020-12-27T00:00:00.000,IN,10394.7
2020-12-27T00:00:00.000,KS,4572.3
2020-12-27T00:00:00.000,KY,7164.3
2020-12-27T00:00:00.000,LA,8289.6
2020-12-27T00:00:00.000,MA,12979.7
2020-12-27T00:00:00.000,MD,7965.3
2020-12-27T00:00:00.000,ME,1881.3
2020-12-27T00:00:00.000,MI,14612.7
2020-12-27T00:00:00.000,MN,6614.3
2020-12-27T00:00:00.000,MO,11189.0
2020-12-27T00:00:00.000,MP,45.9
2020-12-27T00:00:00.000,MS,5177.3
2020-12-27T00:00:00.000,MT,1675.4
2020-12-27T00:00:00.000,NC,16015.1
2020-12-27T00:00:00.000,ND,1307.9
2020-12-27T00:00:00.000,NE,3013.8
2020-12-27T00:00:00.000,NH,1873.7
2020-12-27T00:00:00.000,NJ,14125.3
2020-12-27T00:00:00.000,NM,2585.7
2020-12-27T00:00:00.000,NV,5692.4
2020-12-27T00:00:00.000,NY,33557.8
2020-12-27T00:00:00.000,OH,19575.0
2020-12-27T00:00:00.000,OK,6485.1
2020-12-27T00:00:00.000,OR,4612.6
2020-12-27T00:00:00.000,PA,24380.0
2020-12-27T00:00:00.000,PR,3718.6
2020-12-27T00:00:00.000,RI,2046.9
2020-12-27T00:00:00.000,SC,7185.3
2020-12-27T00:00:00.000,SD,1310.6
2020-12-27T00:00:00.000,TN,11956.0
2020-12-27T00:00:00.000,TX,44276.6
2020-12-27T00:00:00.000,UT,2876.7
2020-12-27T00:00:00.000,VA,11572.3
2020-12-27T00:00:00.000,VI,93.4
2020-12-27T00:00:00.000,VT,683.4
2020-12-27T00:00:00.000,WA,8393.2
2020-12-27T00:00:00.000,WI,7276.7
2020-12-27T00:00:00.000,WV,3776.9
2020-12-27T00:00:00.000,WY,550.1
2021-01-03T00:00:00.000,AK,576.2
2021-01-03T00:00:00.000,AL,10999.1
2021-01-03T00:00:00.000,AR,5441.1
2021-01-03T00:00:00.000,AZ,11103.0
2021-01-03T00:00:00.000,CA,52245.0
2021-01-03T00:00:00.000,CO,6640.4
2021-01-03T00:00:00.000,CT,6126.4
2021-01-03T00:00:00.000,DC,2414.5
2021-01-03T00:00:00.000,DE,1868.8
2021-01-03T00:00:00.000,FL,41850.2
2021-01-03T00:00:00.000,GA,15612.3
2021-01-03T00:00:00.000,GU,175.6
2021-01-03T00:00:00.000,HI,1746.9
2021-01-03T00:00:00.000,IA,4601.9
2021-01-03T00:00:00.000,ID,1791.8
2021-01-03T00:00:00.000,IL,19668.5
2021-01-03T00:00:00.000,IN,10935.0
2021-01-03T00:00:00.000,KS,4871.7
2021-01-03T00:00:00.000,KY,7493.8
2021-01-03T00:00:00.000,LA,8821.0
2021-01-03T00:00:00.000,MA,13514.800000000001
2021-01-03T00:00:00.000,MD,8282.7
2021-01-03T00:00:00.000,ME,1978.6000000000001
2021-01-03T00:00:00.000,MI,15593.7
2021-01-03T00:00:00.000,MN,6836.9
2021-01-03T00:00:00.000,MO,11807.7
2021-01-03T00:00:00.000,MP,48.3
2021-01-03T00:00:00.000,MS,5316.2
2021-01-03T00:00:00.000,MT,1766.8
2021-01-03T00:00:00.000,NC,16614.0
2021-01-03T00:00:00.000,ND,1304.9
2021-01-03T00:00:00.000,NE,2985.2
2021-01-03T00:00:00.000,NH,1971.7
2021-01-03T00:00:00.000,NJ,14615.0
2021-01-03T00:00:00.000,NM,2665.6
2021-01-03T00:00:00.000,NV,5585.3
2021-01-03T00:00:00.000,NY,35256.5
2021-01-03T00:00:00.000,OH,20719.8
2021-01-03T00:00:00.000,OK,6753.5
2021-01-03T00:00:00.000,OR,4827.7
2021-01-03T00:00:00.000,PA,25269.0
2021-01-03T00:00:00.000,PR,3774.4
2021-01-03T00:00:00.000,RI,2073.2
2021-01-03T00:00:00.000,SC,7645.099999999999
2021-01-03T00:00:00.000,SD,1402.1
2021-01-03T00:00:00.000,TN,11933.5
2021-01-03T00:00:00.000,TX,45995.7
2021-01-03T00:00:00.000,UT,2975.7
2021-01-03T00:00:00.000,VA,12202.3
2021-01-03T00:00:00.000,VI,102.19999999999999
2021-01-03T00:00:00.000,VT,738.3000000000001
2021-01-03T00:00:00.000,WA,8694.3
2021-01-03T00:00:00.000,WI,7640.2
2021-01-03T00:00:00.000,WV,3943.0
2021-01-03T00:00:00.000,WY,594.5
2021-01-10T00:00:00.000,AK,584.4
2021-01-10T00:00:00.000,AL,10977.5
2021-01-10T00:00:00.000,AR,5482.6
2021-01-10T00:00:00.000,AZ,11231.8
2021-01-10T00:00:00.000,CA,53194.5
2021-01-10T00:00:00.000,CO,6645.3
2021-01-10T00:00:00.000,CT,6193.1
2021-01-10T00:00:00.000,DC,2466.3
2021-01-10T00:00:00.000,DE,1903.5000000000002
2021-01-10T00:00:00.000,FL,42018.2
2021-01-10T00:00:00.000,GA,15588.2
2021-01-10T00:00:00.000,GU,186.39999999999998
2021-01-10T00:00:00.000,HI,1750.8
2021-01-10T00:00:00.000,IA,4659.5
2021-01-10T00:00:00.000,ID,1782.6
2021-01-10T00:00:00.000,IL,19595.7
2021-01-10T00:00:00.000,IN,10861.7
2021-01-10T00:00:00.000,KS,4748.0
2021-01-10T00:00:00.000,KY,7436.8
2021-01-10T00:00:00.000,LA,8910.3
2021-01-10T00:00:00.000,MA,13602.6
2021-01-10T00:00:00.000,MD,8266.0
2021-01-10T00:00:00.000,ME,2003.3
2021-01-10T00:00:00.000,MI,15651.1
2021-01-10T00:00:00.000,MN,6895.2
2021-01-10T00:00:00.000,MO,11853.3
2021-01-10T00:00:00.000,MP,54.1
2021-01-10T00:00:00.000,MS,5207.2
2021-01-10T00:00:00.000,MT,1778.6
2021-01-10T00:00:00.000,NC,16603.5
2021-01-10T00:00:00.000,ND,1292.7
2021-01-10T00:00:00.000,NE,2785.9
2021-01-10T00:00:00.000,NH,1957.7
2021-01-10T00:00:00.000,NJ,14838.0
2021-01-10T00:00:00.000,NM,2688.4
2021-01-10T00:00:00.000,NV,5768.400000000001
2021-01-10T00:00:00.000,NY,36085.2
2021-01-10T00:00:00.000,OH,20778.2
2021-01-10T00:00:00.000,OK,6704.5
2021-01-10T00:00:00.000,OR,4748.8
2021-01-10T00:00:00.000,PA,24095.6
2021-01-10T00:00:00.000,PR,4284.8
2021-01-10T00:00:00.000,RI,2070.6
2021-01-10T00:00:00.000,SC,7727.599999999999
2021-01-10T00:00:00.000,SD,1376.8
2021-01-10T00:00:00.000,TN,12353.3
2021-01-10T00:00:00.000,TX,46512.4
2021-01-10T00:00:00.000,UT,3112.0
2021-01-10T00:00:00.000,VA,12325.9
2021-01-10T00:00:00.000,VI,100.4
2021-01-10T00:00:00.000,VT,743.6
2021-01-10T00:00:00.000,WA,8747.4
2021-01-10T00:00:00.000,WI,7570.6
2021-01-10T00:00:00.000,WV,3927.6
2021-01-10T00:00:00.000,WY,583.7
2021-01-17T00:00:00.000,AK,571.1
2021-01-17T00:00:00.000,AL,10845.800000000001
2021-01-17T00:00:00.000,AR,5449.1
2021-01-17T00:00:00.000,AZ,11182.2
2021-01-17T00:00:00.000,CA,52198.2
2021-01-17T00:00:00.000,CO,6633.5
2021-01-17T00:00:00.000,CT,6221.599999999999
2021-01-17T00:00:00.000,DC,2438.5
2021-01-17T00:00:00.000,DE,1931.8999999999999
2021-01-17T00:00:00.000,FL,41787.8
2021-01-17T00:00:00.000,GA,15583.9
2021-01-17T00:00:00.000,GU,203.8
2021-01-17T00:00:00.000,HI,1739.9
2021-01-17T00:00:00.000,IA,4634.8
2021-01-17T00:00:00.000,ID,1789.2
2021-01-17T00:00:00.000,IL,19398.7
2021-01-17T00:00:00.000,IN,10595.2
2021-01-17T00:00:00.000,KS,4692.7
2021-01-17T00:00:00.000,KY,7595.8
2021-01-17T00:00:00.000,LA,9060.9
2021-01-17T00:00:00.000,MA,13658.4
2021-01-17T00:00:00.000,MD,8194.1
2021-01-17T00:00:00.000,ME,1984.3
2021-01-17T00:00:00.000,MI,15464.0
2021-01-17T00:00:00.000,MN,6884.3
2021-01-17T00:00:00.000,MO,11585.7
2021-01-17T00:00:00.000,MP,51.6
2021-01-17T00:00:00.000,MS,5216.7
2021-01-17T00:00:00.000,MT,1746.6
2021-01-17T00:00:00.000,NC,16674.2
2021-01-17T00:00:00.000,ND,1310.2
2021-01-17T00:00:00.000,NE,2620.2
2021-01-17T00:00:00.000,NH,1950.9
2021-01-17T00:00:00.000,NJ,14847.7
2021-01-17T00:00:00.000,NM,2632.4
2021-01-17T00:00:00.000,NV,5650.7
2021-01-17T00:00:00.000,NY,36232.7
2021-01-17T00:00:00.000,OH,20683.1
2021-01-17T00:00:00.000,OK,6530.2
2021-01-17T00:00:00.000,OR,4671.1
2021-01-17T00:00:00.000,PA,23562.2
2021-01-17T00:00:00.000,PR,4464.2
2021-01-17T00:00:00.000,RI,1788.2
2021-01-17T00:00:00.000,SC,7676.6
2021-01-17T00:00:00.000,SD,1360.8
2021-01-17T00:00:00.000,TN,12810.6
2021-01-17T00:00:00.000,TX,46513.2
2021-01-17T00:00:00.000,UT,3111.4
2021-01-17T00:00:00.000,VA,12152.8
2021-01-17T00:00:00.000,VI,93.8
2021-01-17T00:00:00.000,VT,758.7
2021-01-17T00:00:00.000,WA,8555.5
2021-01-17T00:00:00.000,WI,7498.5
2021-01-17T00:00:00.000,WV,3920.5
2021-01-17T00:00:00.000,WY,563.1
2021-01-24T00:00:00.000,AK,622.6999999999999
2021-01-24T00:00:00.000,AL,10725.9
2021-01-24T00:00:00.000,AR,5387.4
2021-01-24T00:00:00.000,AZ,10886.0
2021-01-24T00:00:00.000,CA,50722.6
2021-01-24T00:00:00.000,CO,6736.9
2021-01-24T00:00:00.000,CT,6222.5
2021-01-24T00:00:00.000,DC,2485.6
2021-01-24T00:00:00.000,DE,1907.3
2021-01-24T00:00:00.000,FL,42218.9
2021-01-24T00:00:00.000,GA,15471.0
2021-01-24T00:00:00.000,GU,190.10000000000002
