date,state,inpatient_beds
2022-01-23,ID,2070.6
2022-01-23,IL,20341.7
2022-01-23,IN,11331.0
2022-01-23,KS,4784.0
2022-01-23,KY,7865.0
2022-01-23,LA,8835.7
2022-01-23,MA,13392.2
2022-01-23,MD,8499.5
2022-01-23,ME,2107.3
2022-01-23,MI,16298.7
2022-01-23,MN,7570.1
2022-01-23,MO,12208.3
2022-01-23,MP,47.6
2022-01-23,MS,5395.3
2022-01-23,MT,1814.2
2022-01-23,NC,17122.3
2022-01-23,ND,1489.5
2022-01-23,NE,3098.0
2022-01-23,NH,2083.6
2022-01-23,NJ,14589.4
2022-01-23,NM,2811.9
2022-01-23,NV,5946.6
2022-01-23,NY,34822.6
2022-01-23,OH,21120.2
2022-01-23,OK,6481.099999999999
2022-01-23,OR,5554.8
2022-01-23,PA,23938.4
2022-01-23,PR,4908.1
2022-01-23,RI,1740.0
2022-01-23,SC,8330.6
2022-01-23,SD,1401.8
2022-01-23,TN,13017.8
2022-01-23,TX,46375.7
2022-01-23,UT,3238.9
2022-01-23,VA,12283.4
2022-01-23,VI,108.6
2022-01-23,VT,817.6
2022-01-23,WA,9538.1
2022-01-23,WI,8143.5
2022-01-23,WV,3928.1
2022-01-23,WY,611.9000000000001
2022-01-30,AK,779.0999999999999
2022-01-30,AL,10753.1
2022-01-30,AR,5665.7
2022-01-30,AS,75.4
2022-01-30,AZ,11495.9
2022-01-30,CA,50320.5
2022-01-30,CO,7124.4
2022-01-30,CT,5928.6
2022-01-30,DC,2202.8
2022-01-30,DE,2116.9
2022-01-30,FL,43697.3
2022-01-30,GA,15553.1
2022-01-30,GU,197.5
2022-01-30,HI,1912.1000000000001
2022-01-30,IA,4761.7
2022-01-30,ID,2054.6
2022-01-30,IL,19901.5
2022-01-30,IN,11078.0
2022-01-30,KS,4719.7
2022-01-30,KY,7706.7
2022-01-30,LA,8911.2
2022-01-30,MA,13390.8
2022-01-30,MD,8211.5
2022-01-30,ME,2132.1
2022-01-30,MI,15918.3
2022-01-30,MN,7518.6
2022-01-30,MO,12010.8
2022-01-30,MP,53.3
2022-01-30,MS,5381.2
2022-01-30,MT,1752.3
2022-01-30,NC,17183.9
2022-01-30,ND,1532.3
2022-01-30,NE,3136.7
2022-01-30,NH,2090.0
2022-01-30,NJ,13741.6
2022-01-30,NM,2799.6
2022-01-30,NV,5837.9
2022-01-30,NY,34267.6
2022-01-30,OH,20229.6
2022-01-30,OK,6462.9
2022-01-30,OR,5549.8
2022-01-30,PA,23424.100000000002
2022-01-30,PR,4784.3
2022-01-30,RI,1717.7
2022-01-30,SC,8288.4
2022-01-30,SD,1324.4
2022-01-30,TN,12911.6
2022-01-30,TX,45951.2
2022-01-30,UT,3237.1
2022-01-30,VA,12063.3
2022-01-30,VI,105.19999999999999
2022-01-30,VT,822.9000000000001
2022-01-30,WA,9518.0
2022-01-30,WI,7970.1
2022-01-30,WV,3933.9
2022-01-30,WY,618.5
2022-02-06,AK,801.0
2022-02-06,AL,10691.7
2022-02-06,AR,5739.5
2022-02-06,AS,79.6
2022-02-06,AZ,11247.3
2022-02-06,CA,49911.1
2022-02-06,CO,7048.1
2022-02-06,CT,5907.9
2022-02-06,DC,2185.2
2022-02-06,DE,2016.3
2022-02-06,FL,43787.5
2022-02-06,GA,14982.2
2022-02-06,GU,197.0
2022-02-06,HI,1905.5
2022-02-06,IA,4692.0
2022-02-06,ID,2033.0
2022-02-06,IL,19878.2
2022-02-06,IN,11100.1
2022-02-06,KS,4842.0
2022-02-06,KY,7769.1
2022-02-06,LA,8816.0
2022-02-06,MA,13308.8
2022-02-06,MD,8188.3
2022-02-06,ME,2144.6
2022-02-06,MI,16046.2
2022-02-06,MN,7572.4
2022-02-06,MO,12117.3
